event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,event_date
2020-10-04 00:00:45+00:00,view,1027301,2144415926445932750,electronics.audio.acoustic,acv,70.41,1515915625522165241,vkPZ8hp09D,2020-10-04
2020-10-04 00:01:17+00:00,view,218568,2144415928148820220,,buro,0.37,1515915625522164973,KKFPnQqjwR,2020-10-04
2020-10-04 00:01:28+00:00,view,322460,2144415933660135822,,,182.54,1515915625504813192,pKFjO8s46S,2020-10-04
2020-10-04 00:01:36+00:00,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522138986,UymjesoOzQ,2020-10-04
2020-10-04 00:01:57+00:00,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522138986,UymjesoOzQ,2020-10-04
2020-10-04 00:01:59+00:00,view,1642998,2144415923207929981,auto.accessories.player,pioneer,102.95,1515915625522165178,uwcRCCTHNo,2020-10-04
2020-10-04 00:02:17+00:00,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:02:18+00:00,view,482645,2144415933341368710,,bosch,300.49,1515915625522164900,cWtBJfotjR,2020-10-04
2020-10-04 00:02:38+00:00,cart,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:05:27+00:00,view,799287,2144415924424278172,electronics.audio.acoustic,sven,136.83,1515915625522165584,WjMOf5J92i,2020-10-04
2020-10-04 00:06:17+00:00,purchase,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:07:11+00:00,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:09:21+00:00,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:11:27+00:00,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:12:29+00:00,view,287525,2144415927158964449,,,9.35,1515915625522166038,BbIWQvlZyY,2020-10-04
2020-10-04 00:13:23+00:00,purchase,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:14:42+00:00,view,637590,2144415934800986545,construction.tools.welding,fubag,67.43,1515915625522165297,UCOWbnTkYH,2020-10-04
2020-10-04 00:16:04+00:00,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625521592186,uyeCNo59SH,2020-10-04
2020-10-04 00:17:53+00:00,view,1820929,2144415927947493623,,,15.25,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:18:06+00:00,view,1413339,2144415926966026460,computers.components.cpu,amd,148.37,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:18:14+00:00,view,1820929,2144415927947493623,,,15.25,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:19:17+00:00,view,1703407,2144415935698567627,,element,86.62,1515915625504955636,VTvDgeB7JR,2020-10-04
2020-10-04 00:20:24+00:00,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:29:44+00:00,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:30:35+00:00,purchase,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625522165358,YTfZOZTSEQ,2020-10-04
2020-10-04 00:30:42+00:00,view,579103,2144415922402623591,computers.peripherals.monitor,asus,628.0,1515915625522167523,RMLuvwX4SH,2020-10-04
2020-10-04 00:31:30+00:00,view,616382,2144415922402623591,computers.peripherals.monitor,asus,524.22,1515915625522167523,RMLuvwX4SH,2020-10-04
2020-10-04 00:32:16+00:00,view,3557406,2144415925430911157,appliances.kitchen.coffee_machine,kitfort,43.83,1515915625522167638,KOF31CSpEn,2020-10-04
2020-10-04 00:32:23+00:00,view,3557406,2144415925430911157,appliances.kitchen.coffee_machine,kitfort,43.83,1515915625522167638,KOF31CSpEn,2020-10-04
2020-10-04 00:34:42+00:00,view,1443880,2144415922092245087,computers.peripherals.joystick,cbr,26.17,1515915625522167673,jquJmNZ4mO,2020-10-04
2020-10-04 00:38:30+00:00,view,173794,2144415926932472027,computers.components.cooler,deepcool,17.59,1515915625522168136,uHA8BZ6PxA,2020-10-04
2020-10-04 00:40:38+00:00,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625520205065,SWMAXe5eCH,2020-10-04
2020-10-04 00:40:57+00:00,view,270614,2144415922234851427,,,14.62,1515915625522160607,QcwVHkt2i7,2020-10-04
2020-10-04 00:46:18+00:00,view,1695100,2144415927049912542,electronics.video.tv,jvc,414.78,1515915625522168598,QVjE8GoBnD,2020-10-04
2020-10-04 00:48:23+00:00,view,1785245,2144415925011480748,stationery.cartrige,canon,43.11,1515915625522168751,Qk0QA31wUj,2020-10-04
2020-10-04 00:49:50+00:00,view,1301733,2144415925196030129,electronics.telephone,ark,61.16,1515915625522168962,1BkYIEJg1I,2020-10-04
2020-10-04 00:53:08+00:00,view,1419546,2144415930019479855,electronics.telephone,sirius,9.29,1515915625361678637,Twl8wxid5t,2020-10-04
2020-10-04 00:53:13+00:00,view,1419546,2144415930019479855,electronics.telephone,sirius,9.29,1515915625361678637,0Enib5eUmo,2020-10-04
2020-10-04 00:57:06+00:00,view,427972,2144415925011480748,stationery.cartrige,ricoh,85.97,1515915625522169518,Gd2gtaTJ5T,2020-10-04
2020-10-04 00:57:27+00:00,view,564615,2144415935631458761,construction.tools.soldering,,58.25,1515915625522169649,ofFhWirCBw,2020-10-04
2020-10-04 00:59:41+00:00,view,4079248,2144415922528452715,electronics.telephone,,71.75,1515915625522169779,M0YGeEldzy,2020-10-04
2020-10-04 01:03:08+00:00,view,1422804,2144415921169498184,,huawei,15.87,1515915625522170086,B1EGndgkhB,2020-10-04
2020-10-04 01:05:00+00:00,view,3791046,2144415974135169554,electronics.audio.acoustic,cameronsino,29.68,1515915625522170245,1oczkvO5J2,2020-10-04
2020-10-04 01:05:34+00:00,view,809989,2144415939364389423,electronics.clocks,xiaomi,30.84,1515915625522170267,PntbkLEa2v,2020-10-04
2020-10-04 01:05:37+00:00,view,495144,2144415921505042512,,samsung,19.57,1515915625522169973,Zmj2XKfTc9,2020-10-04
2020-10-04 01:05:52+00:00,view,1703943,2144415922360680550,computers.peripherals.camera,genius,41.32,1515915625520113390,QKZHxDIMeG,2020-10-04
2020-10-04 01:07:28+00:00,view,122559,2144415948256314150,computers.peripherals.keyboard,,30.48,1515915625520113390,QKZHxDIMeG,2020-10-04
2020-10-04 01:07:35+00:00,view,809989,2144415939364389423,electronics.clocks,xiaomi,30.84,1515915625522170267,PntbkLEa2v,2020-10-04
2020-10-04 01:08:39+00:00,view,955714,2144415942703055498,,,35.84,1515915625522170471,GhNTfMf4u2,2020-10-04
2020-10-04 01:09:01+00:00,view,4047245,2144415923107266682,computers.peripherals.printer,epson,381.62,1515915625522170466,oN0JQMjdpy,2020-10-04
2020-10-04 01:09:14+00:00,view,1724501,2144415923014991993,auto.accessories.videoregister,,32.22,1515915625522170585,WDvjybsxUZ,2020-10-04
2020-10-04 01:10:01+00:00,view,1400403,2144415922092245087,computers.peripherals.joystick,ipega,43.65,1515915625520984022,MVm6RrGfGE,2020-10-04
